zzz ***Sat Mar 6 11:22:08 EST 2021
MemTotal:       82051248 kB
MemFree:         3074876 kB
MemAvailable:   80003536 kB
Buffers:            2864 kB
Cached:         77306076 kB
SwapCached:           76 kB
Active:         55841428 kB
Inactive:       22100496 kB
Active(anon):     255536 kB
Inactive(anon):   443980 kB
Active(file):   55585892 kB
Inactive(file): 21656516 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:               208 kB
Writeback:           136 kB
AnonPages:        621136 kB
Mapped:           181740 kB
Shmem:             66536 kB
KReclaimable:     548796 kB
Slab:             766936 kB
SReclaimable:     548796 kB
SUnreclaim:       218140 kB
KernelStack:       11232 kB
PageTables:        32456 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2232088 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29392 kB
VmallocChunk:          0 kB
Percpu:             8352 kB
HardwareCorrupted:     0 kB
AnonHugePages:    260096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2326324 kB
DirectMap2M:    39292928 kB
DirectMap1G:    41943040 kB
zzz ***Sat Mar 6 11:22:38 EST 2021
MemTotal:       82051248 kB
MemFree:         3076760 kB
MemAvailable:   80005592 kB
Buffers:            2864 kB
Cached:         77306440 kB
SwapCached:           76 kB
Active:         55841112 kB
Inactive:       22100740 kB
Active(anon):     255212 kB
Inactive(anon):   443900 kB
Active(file):   55585900 kB
Inactive(file): 21656840 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:                52 kB
Writeback:             0 kB
AnonPages:        621640 kB
Mapped:           181472 kB
Shmem:             66540 kB
KReclaimable:     548636 kB
Slab:             766288 kB
SReclaimable:     548636 kB
SUnreclaim:       217652 kB
KernelStack:       11008 kB
PageTables:        31236 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2232104 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29312 kB
VmallocChunk:          0 kB
Percpu:             8352 kB
HardwareCorrupted:     0 kB
AnonHugePages:    264192 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2326324 kB
DirectMap2M:    39292928 kB
DirectMap1G:    41943040 kB
zzz ***Sat Mar 6 11:23:09 EST 2021
MemTotal:       82051248 kB
MemFree:         3077528 kB
MemAvailable:   80006664 kB
Buffers:            2864 kB
Cached:         77306720 kB
SwapCached:           76 kB
Active:         55841904 kB
Inactive:       22101044 kB
Active(anon):     256004 kB
Inactive(anon):   443900 kB
Active(file):   55585900 kB
Inactive(file): 21657144 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:                12 kB
Writeback:             0 kB
AnonPages:        622368 kB
Mapped:           181456 kB
Shmem:             66536 kB
KReclaimable:     548636 kB
Slab:             766240 kB
SReclaimable:     548636 kB
SUnreclaim:       217604 kB
KernelStack:       11056 kB
PageTables:        31208 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2233812 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29280 kB
VmallocChunk:          0 kB
Percpu:             8352 kB
HardwareCorrupted:     0 kB
AnonHugePages:    260096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2326324 kB
DirectMap2M:    39292928 kB
DirectMap1G:    41943040 kB
zzz ***Sat Mar 6 11:23:39 EST 2021
MemTotal:       82051248 kB
MemFree:         3039828 kB
MemAvailable:   79969276 kB
Buffers:            2864 kB
Cached:         77307032 kB
SwapCached:           76 kB
Active:         55881104 kB
Inactive:       22101344 kB
Active(anon):     295192 kB
Inactive(anon):   443900 kB
Active(file):   55585912 kB
Inactive(file): 21657444 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:                56 kB
Writeback:             0 kB
AnonPages:        661828 kB
Mapped:           184700 kB
Shmem:             66540 kB
KReclaimable:     548636 kB
Slab:             766144 kB
SReclaimable:     548636 kB
SUnreclaim:       217508 kB
KernelStack:       10992 kB
PageTables:        31896 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2278300 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29216 kB
VmallocChunk:          0 kB
Percpu:             8352 kB
HardwareCorrupted:     0 kB
AnonHugePages:    260096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2326324 kB
DirectMap2M:    39292928 kB
DirectMap1G:    41943040 kB
zzz ***Sat Mar 6 11:24:10 EST 2021
MemTotal:       82051248 kB
MemFree:         3078692 kB
MemAvailable:   80008452 kB
Buffers:            2864 kB
Cached:         77307340 kB
SwapCached:           76 kB
Active:         55841376 kB
Inactive:       22101648 kB
Active(anon):     255456 kB
Inactive(anon):   443900 kB
Active(file):   55585920 kB
Inactive(file): 21657748 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:               160 kB
Writeback:             0 kB
AnonPages:        622044 kB
Mapped:           181244 kB
Shmem:             66536 kB
KReclaimable:     548636 kB
Slab:             766200 kB
SReclaimable:     548636 kB
SUnreclaim:       217564 kB
KernelStack:       11008 kB
PageTables:        31116 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2232536 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29232 kB
