zzz ***Sun Mar 7 06:38:02 EST 2021
MemTotal:       82051248 kB
MemFree:          952372 kB
MemAvailable:   79960596 kB
Buffers:            8492 kB
Cached:         79248508 kB
SwapCached:           60 kB
Active:         55978200 kB
Inactive:       23900876 kB
Active(anon):     246964 kB
Inactive(anon):   450084 kB
Active(file):   55731236 kB
Inactive(file): 23450792 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:               140 kB
Writeback:             0 kB
AnonPages:        611144 kB
Mapped:           191604 kB
Shmem:             74944 kB
KReclaimable:     688740 kB
Slab:             949376 kB
SReclaimable:     688740 kB
SUnreclaim:       260636 kB
KernelStack:       10992 kB
PageTables:        30732 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2275232 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29328 kB
VmallocChunk:          0 kB
Percpu:             8352 kB
HardwareCorrupted:     0 kB
AnonHugePages:    260096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2359092 kB
DirectMap2M:    39260160 kB
DirectMap1G:    41943040 kB
zzz ***Sun Mar 7 06:38:32 EST 2021
MemTotal:       82051248 kB
MemFree:          952308 kB
MemAvailable:   79960860 kB
Buffers:            8492 kB
Cached:         79248812 kB
SwapCached:           60 kB
Active:         55978020 kB
Inactive:       23901200 kB
Active(anon):     246784 kB
Inactive(anon):   450080 kB
Active(file):   55731236 kB
Inactive(file): 23451120 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:                64 kB
Writeback:             0 kB
AnonPages:        611116 kB
Mapped:           191560 kB
Shmem:             74944 kB
KReclaimable:     688740 kB
Slab:             949320 kB
SReclaimable:     688740 kB
SUnreclaim:       260580 kB
KernelStack:       10976 kB
PageTables:        30724 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    43122772 kB
Committed_AS:    2273824 kB
VmallocTotal:   34359738367 kB
VmallocUsed:       29280 kB
VmallocChunk:          0 kB
Percpu:             8352 kB
HardwareCorrupted:     0 kB
AnonHugePages:    260096 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2359092 kB
DirectMap2M:    39260160 kB
DirectMap1G:    41943040 kB
zzz ***Sun Mar 7 06:39:03 EST 2021
MemTotal:       82051248 kB
MemFree:          949872 kB
MemAvailable:   79958692 kB
Buffers:            8492 kB
Cached:         79249128 kB
SwapCached:           60 kB
Active:         55980176 kB
Inactive:       23901488 kB
Active(anon):     248908 kB
Inactive(anon):   450084 kB
Active(file):   55731268 kB
Inactive(file): 23451404 kB
Unevictable:          32 kB
Mlocked:              32 kB
SwapTotal:       2097148 kB
SwapFree:        2087932 kB
Dirty:                92 kB
Writeback:             0 kB
AnonPages:        613136 kB
Mapped:           191544 kB
Shmem:             74944 kB
KReclaimable:     688692 kB
